time;tmp;mslp;sp;tp;irradiance
2022-08-18 19:00:00;19.989654541015625;1019.2606201171875;930.1112670898438;0.0;0.0
2022-08-18 20:00:00;18.575592041015625;1020.0625;930.681884765625;0.0;0.0
2022-08-18 21:00:00;17.822662353515625;1021.1369018554688;931.5243530273438;0.0;0.0
2022-08-18 22:00:00;17.417877197265625;1021.3843994140625;931.6493530273438;0.0;0.0
2022-08-18 23:00:00;17.032379150390625;1021.6493530273438;931.8125;0.0;0.0
2022-08-19 00:00:00;16.372955322265625;1021.7118530273438;931.8356323242188;1.9073486328125e-06;0.0
2022-08-19 01:00:00;16.046051025390625;1021.2650146484375;931.4156494140625;3.337860107421875e-06;0.0
2022-08-19 02:00:00;15.823272705078125;1021.244384765625;931.3869018554688;3.337860107421875e-06;0.0
2022-08-19 03:00:00;15.094512939453125;1020.90185546875;931.0700073242188;2.384185791015625e-06;0.0
2022-08-19 04:00:00;14.718658447265625;1020.9525146484375;931.1156005859375;2.4318695068359375e-05;0.0
2022-08-19 05:00:00;14.030426025390625;1021.228759765625;931.344970703125;1.9073486328125e-06;0.0
2022-08-19 06:00:00;14.189605712890625;1021.623779296875;931.6868896484375;4.291534423828125e-06;0.0
2022-08-19 07:00:00;17.061431884765625;1022.4068603515625;932.3837280273438;2.384185791015625e-06;47.36000061035156
2022-08-19 08:00:00;18.705230712890625;1022.90185546875;932.9618530273438;9.5367431640625e-07;171.18222045898438
2022-08-19 09:00:00;20.277008056640625;1023.2437744140625;933.427490234375;9.5367431640625e-07;302.2755432128906
2022-08-19 10:00:00;21.322906494140625;1023.0187377929688;933.3687744140625;0.0;473.49334716796875
2022-08-19 11:00:00;22.278717041015625;1021.8443603515625;932.47314453125;0.0;622.82666015625
2022-08-19 12:00:00;24.343170166015625;1020.9406127929688;931.7787475585938;0.0;559.9466552734375
2022-08-19 13:00:00;24.871002197265625;1019.9912719726562;931.005615234375;0.0;642.5777587890625
2022-08-19 14:00:00;25.701812744140625;1018.7424926757812;929.9306030273438;0.0;638.2933349609375
2022-08-19 15:00:00;25.974273681640625;1018.1906127929688;929.467529296875;0.0;578.1688842773438
2022-08-19 16:00:00;25.655670166015625;1018.1369018554688;929.3925170898438;0.0;314.04443359375
2022-08-19 17:00:00;24.284088134765625;1018.6493530273438;929.795654296875;0.0;175.94667053222656
2022-08-19 18:00:00;22.132232666015625;1018.974365234375;929.9912719726562;0.0;18.86222267150879
2022-08-19 19:00:00;21.033355712890625;1019.6749877929688;930.552490234375;0.0;0.0
2022-08-19 20:00:00;20.206939697265625;1020.3687744140625;931.099365234375;0.0;0.0
2022-08-19 21:00:00;19.711822509765625;1021.3206176757812;931.8599853515625;0.0;0.0
2022-08-19 22:00:00;19.150543212890625;1022.0850219726562;932.3787231445312;6.198883056640625e-06;0.0
